iter	RMSE
349	76.19767238
350	76.04298509
351	76.00869648
352	75.98302574
353	75.94501359
354	75.92206679
355	75.80298659
356	75.75411618
357	75.59864078
358	75.53173521
359	75.50874435
360	75.48546574
361	75.44506468
362	75.3924427
363	75.33778267
364	75.30236441
365	75.22032101
366	75.17824716
367	75.14025772
368	75.1120945
369	75.09645244
370	75.08832418
371	75.01197618
372	74.93988848
373	74.91826489
374	74.90024437
375	74.88435269
376	74.86410856
377	74.83660835
378	74.80316953
379	74.66924096
380	74.61355702
381	74.57904528
382	74.41201126
383	74.25426816
384	74.20876518
385	74.08883771
386	74.06080792
387	74.01751908
388	73.96556908
389	73.92707886
390	73.91331406
391	73.87997735
392	73.86739858
393	73.75771538
394	73.719368
395	73.71065333
396	73.6828436
397	73.66329203
398	73.57975463
399	73.51588595
400	73.50907992
401	73.37656994
402	73.15377411
403	73.1299278
404	73.09620543
405	73.07268606
406	73.03624685
407	73.01782222
408	73.0045188
409	72.96757082
410	72.94313202
411	72.86119186
412	72.79215021
413	72.7625626
414	72.70866194
415	72.62706015
416	72.55494483
417	72.48320932
418	72.44690378
419	72.40042429
420	72.36138247
421	72.17702609
422	72.16724585
423	72.13935151
424	72.12464974
425	72.11543752
426	72.10067416
427	71.9817604
428	71.94117849
429	71.89482556
430	71.83873305
431	71.74989746
432	71.72967797
433	71.70492278
434	71.64558023
435	71.61820023
436	71.57172578
437	71.49730756
438	71.47451839
439	71.40247502
440	71.37404677
441	71.35812912
442	71.3231239
443	71.2603482
444	71.25399311
445	71.17149709
446	71.09027338
447	71.06064267
448	71.03704848
449	70.95721933
450	70.91145806
451	70.8976044
452	70.85561869
453	70.78054862
454	70.77827863
455	70.55175939
456	70.53525794
457	70.52082817
458	70.50744455
459	70.49137447
460	70.42973692
461	70.4147211
462	70.38414677
463	70.31113965
464	70.28359089
465	70.27058248
466	70.22533039
467	70.2160632
468	70.20614769
469	70.198022
470	70.12405598
471	70.08733413
472	69.99881146
473	69.9600278
474	69.95400857
475	69.88429751
476	69.84071637
477	69.82091545
478	69.77305856
479	69.72645174
480	69.67869768
481	69.62444961
482	69.61603911
483	69.58528134
484	69.47124831
485	69.46188812
486	69.45166975
487	69.44010845
488	69.34133578
489	69.26806545
490	69.20437252
491	69.08031532
492	69.05745345
493	68.99348541
494	68.89467079
495	68.85026423
496	68.81675092
497	68.71414519
498	68.69975653
499	68.67509956
